symbol,company name,marketCap,price,change,revenue,volume,industry,sector,revenueGrowth,netIncome,free_cash_flow,net_cash_debt
AVPT,"AvePoint, Inc.",1110602834.0,5.76,0.35,241620000.0,726193.0,Software - Infrastructure,Technology,18.790560471976402,-39157000.0,1619000.0,219951000.0
SKIN,The Beauty Health Company,1110297240.0,8.37,-0.83,376739000.0,849642.0,Household & Personal Products,Consumer Staples,30.830777992700355,-10408000.0,-99877000.0,-220096000.0
HCSG,"Healthcare Services Group, Inc.",1107731350.0,14.93,0.27,1680595000.0,460013.0,Medical Care Facilities,Healthcare,1.1785536468878366,35985000.0,1210000.0,68552000.0
PLL,Piedmont Lithium Inc.,1107068243.0,57.71,3.27,,305874.0,Other Industrial Metals & Mining,Materials,,-12459774.0,-65742567.0,127610356.0
MBIN,Merchants Bancorp,1105915488.0,25.58,0.12,437411000.0,159198.0,Banks - Regional,Financials,5.667592704432911,195612000.0,-625252000.0,-864176000.0
DCPH,"Deciphera Pharmaceuticals, Inc.",1105626368.0,14.08,3.45,138258000.0,570586.0,Drug Manufacturers - Specialty & Generic,Healthcare,37.96138302649303,-181648000.0,-152166000.0,370310000.0
CLNE,Clean Energy Fuels Corp.,1105623680.0,4.96,-1.2,468850000.0,1365401.0,Oil & Gas Refining & Marketing,Energy,78.95038167938931,-73239000.0,-26308000.0,12366000.0
TCBK,TriCo Bancshares,1102465760.0,33.2,-2.27,418638000.0,59969.0,Banks - Regional,Financials,27.610971230697,140878000.0,162801000.0,-457084000.0
UNIT,Uniti Group Inc.,1102207223.0,4.62,-1.49,1140635000.0,2624382.0,REIT - Specialty,Real Estate,3.1343526497102037,-81278000.0,-34321000.0,-5387198000.0
FLGT,"Fulgent Genetics, Inc.",1099835436.0,37.03,-1.67,364868000.0,198034.0,Diagnostics & Research,Healthcare,-61.730732319232914,-25916000.0,42349000.0,483878000.0
TASK,"TaskUs, Inc.",1099158405.0,11.32,-0.61,956115000.0,1093606.0,Information Technology Services,Technology,12.814331832469627,38345000.0,122656000.0,-144026000.0
HOLI,Hollysys Automation Technologies Ltd.,1090938836.0,17.59,0.4,764524000.0,135402.0,Electrical Equipment & Parts,Industrials,11.754379040828166,104234000.0,-1839000.0,654294000.0
EVBG,"Everbridge, Inc.",1090776170.0,26.9,-0.37,439785000.0,400195.0,Software - Application,Technology,13.75770179876772,-56749000.0,20292000.0,-277255000.0
INFN,Infinera Corporation,1089725280.0,4.83,4.09,1626443000.0,3666474.0,Communication Equipment,Technology,13.485541163237901,-42603000.0,-101920000.0,-545895000.0
ICHR,"Ichor Holdings, Ltd.",1089596250.0,37.5,1.43,1212793000.0,117425.0,Semiconductor Equipment & Materials,Technology,7.756217919727915,64760000.0,24023000.0,-271567000.0
ANIP,"ANI Pharmaceuticals, Inc.",1084496861.0,53.83,0.6,358694000.0,127464.0,Drug Manufacturers - Specialty & Generic,Healthcare,58.649576278683014,-27953000.0,637000.0,-218550000.0
ALHC,"Alignment Healthcare, Inc.",1083196500.0,5.75,-3.36,1527788000.0,2271141.0,Healthcare Plans,Healthcare,22.59405865912598,-146014000.0,25176000.0,324120000.0
TYGO,"Tigo Energy, Inc.",1078580475.0,18.55,,81323000.0,167862.0,Solar,Technology,86.34113926951102,-13381000.0,-17619000.0,16191000.0
OM,"Outset Medical, Inc.",1076618547.0,21.87,-1.22,118292000.0,453919.0,Medical Devices,Healthcare,7.307957473057813,-170035000.0,-159807000.0,149463000.0
MNKD,MannKind Corporation,1075725420.0,4.07,2.78,128404000.0,2621636.0,Biotechnology,Healthcare,83.4395268436241,-71197000.0,-72119000.0,-216765000.0
MGI,"MoneyGram International, Inc.",1074114244.0,10.99,,1340000000.0,4583270.0,Credit Services,Financials,4.597611427679338,34100000.0,45300000.0,-692100000.0
PLRX,"Pliant Therapeutics, Inc.",1071913968.0,18.12,-0.77,9768000.0,3184133.0,Biotechnology,Healthcare,46.953512862945686,-132769000.0,-105688000.0,562126000.0
NRC,National Research Corporation,1070772398.0,43.51,-0.55,149600000.0,31826.0,Health Information Services,Healthcare,-0.8818599227461532,30225000.0,25236000.0,2648000.0
NXGN,"NextGen Healthcare, Inc.",1070203710.0,16.22,0.5,653172000.0,290903.0,Health Information Services,Healthcare,9.528297140940722,-2654000.0,6396000.0,-29164000.0
MNTK,"Montauk Renewables, Inc.",1068845280.0,7.44,0.13,192541000.0,382702.0,Utilities - Diversified,Utilities,29.354975243034787,32521000.0,26454000.0,3831000.0
CBAY,"CymaBay Therapeutics, Inc.",1067769540.0,10.95,39.67,,18409125.0,Biotechnology,Healthcare,,-107010000.0,-52630000.0,141735000.0
SAFT,"Safety Insurance Group, Inc.",1066153660.0,71.72,-0.26,816315000.0,45708.0,Insurance - Property & Casualty,Financials,-4.859056929671823,26386000.0,44774000.0,-51898000.0
VECT,VectivBio Holding AG,1059537220.0,16.87,-0.3,27341000.0,200766.0,Biotechnology,Healthcare,,-93735000.0,-56333000.0,210954000.0
STBA,"S&T Bancorp, Inc.",1059515449.0,27.19,-2.16,383264000.0,115740.0,Banks - Regional,Financials,18.576820741290767,146176000.0,191262000.0,-319944000.0
SABR,Sabre Corporation,1059255476.0,3.19,-0.93,2694800000.0,3780364.0,Travel Services,Consumer Discretionary,38.45751505034423,-603173000.0,-279985000.0,-4016800000.0
APOG,"Apogee Enterprises, Inc.",1057887938.0,47.47,-0.86,1445774000.0,138203.0,Building Products & Equipment,Industrials,7.523988439736251,104952000.0,110729000.0,-189370000.0
LIFW,"MSP Recovery, Inc.",1056999680.0,0.328,-1.86,,47912.0,Health Information Services,Healthcare,,,,-270915000.0
TLRY,"Tilray Brands, Inc.",1054652052.0,1.56,-3.11,596261000.0,18677498.0,Drug Manufacturers - Specialty & Generic,Healthcare,-3.405569244576634,-1792084000.0,-67350000.0,-195448000.0
ANY,Sphere 3D Corp.,1049280009.0,1.94,-3.0,7731000.0,182911.0,Software - Application,Technology,86.19942196531791,-181659000.0,-21167000.0,3509000.0
OFLX,"Omega Flex, Inc.",1047586454.0,103.78,-0.01,124181000.0,16844.0,Specialty Industrial Machinery,Industrials,-4.799104576015212,23913000.0,19276000.0,32332000.0
SIBN,"SI-BONE, Inc.",1043756374.0,26.98,-3.85,116678000.0,488175.0,Medical Devices,Healthcare,26.618845565334404,-54971000.0,-48708000.0,46102000.0
DAWN,"Day One Biopharmaceuticals, Inc.",1036892334.0,11.94,-2.69,,771920.0,Biotechnology,Healthcare,,-156827000.0,-114333000.0,317462000.0
SRCE,1st Source Corporation,1035486508.0,41.93,-1.53,350795000.0,48538.0,Banks - Regional,Financials,2.969061876247503,124243000.0,180621000.0,-314477000.0
ASTE,"Astec Industries, Inc.",1032210496.0,45.44,0.96,1331200000.0,51367.0,Farm & Heavy Construction Machinery,Industrials,20.765671777193152,7900000.0,-95100000.0,-29900000.0
KRUS,"Kura Sushi USA, Inc.",1030555240.0,92.95,1.42,163229000.0,165184.0,Restaurants,Consumer Discretionary,51.8169219751295,-713000.0,-14759000.0,-80768000.0
VRDN,"Viridian Therapeutics, Inc.",1026119796.0,23.79,-0.63,1654000.0,829400.0,Biotechnology,Healthcare,-4.2824074074074066,-172332000.0,-135502000.0,369181000.0
SAVA,"Cassava Sciences, Inc.",1023695288.0,24.52,3.63,,552012.0,Biotechnology,Healthcare,,-82990000.0,-69883000.0,187467000.0
VALN,Valneva SE,1023444916.0,14.75,-0.6,405395652.173913,1878.0,Biotechnology,Healthcare,7.569840619754387,-147135869.56521738,-289365217.3913043,110605434.78260869
KIDS,OrthoPediatrics Corp.,1022897720.0,43.85,1.25,130460000.0,77651.0,Medical Devices,Healthcare,30.45478180872765,3552000.0,-34804000.0,92125000.0
AMSF,"AMERISAFE, Inc.",1021163312.0,53.32,0.32,297615000.0,126539.0,Insurance - Specialty,Financials,-3.416595541680323,55610000.0,32679000.0,41210000.0
MOR,MorphoSys AG,1020880080.0,7.47,0.67,,159968.0,Biotechnology,Healthcare,,,,-1169938969.0
WABC,Westamerica Bancorporation,1020629890.0,38.3,-1.74,291349000.0,99021.0,Banks - Regional,Financials,33.85632506041589,139869000.0,135837000.0,112114000.0
INNV,InnovAge Holding Corp.,1017225000.0,7.5,0.54,684073000.0,31047.0,Medical Care Facilities,Healthcare,-1.9102517224815152,-42205000.0,-27098000.0,56248000.0
SASR,"Sandy Spring Bancorp, Inc.",1016869140.0,22.68,-2.33,494029000.0,232449.0,Banks - Regional,Financials,-5.785462825583654,173617000.0,167658000.0,-877266000.0
XMTR,"Xometry, Inc.",1013342338.0,21.18,-0.84,402708000.0,740760.0,Specialty Industrial Machinery,Industrials,56.03696456593759,-74357000.0,-69817000.0,-5968000.0
IRON,"Disc Medicine, Inc.",1012999320.0,44.4,-4.62,,359504.0,Biotechnology,Healthcare,,-54377000.0,-61560000.0,235164000.0
HOPE,"Hope Bancorp, Inc.",1009760080.0,8.42,-1.52,606012000.0,786048.0,Banks - Regional,Financials,1.3664122520461008,196660000.0,368060000.0,-289663000.0
CCRN,"Cross Country Healthcare, Inc.",1008995832.0,28.08,-0.92,2640584000.0,338694.0,Medical Care Facilities,Healthcare,23.614570747370365,155914000.0,199585000.0,-145581000.0
FRG,"Franchise Group, Inc.",1007343264.0,28.64,-0.28,4367184000.0,614130.0,Specialty Retail,Consumer Discretionary,15.861045825397579,-189208000.0,85963000.0,-2350740000.0
FWRG,"First Watch Restaurant Group, Inc.",1004634020.0,16.9,0.78,768456000.0,332205.0,Restaurants,Consumer Discretionary,18.74721851357366,11627000.0,10710000.0,-456432000.0
